# time Uy_probe0 Uy_probe1
72.759 0.0681111 0.164963
72.76 0.0682269 0.165047
72.761 0.0683427 0.165132
72.762 0.0684587 0.165216
72.763 0.0685742 0.1653
72.764 0.0686895 0.165384
72.765 0.0688048 0.165468
72.766 0.0689199 0.165552
72.767 0.069035 0.165636
72.768 0.0691499 0.16572
72.769 0.0692648 0.165804
72.77 0.0693795 0.165888
72.771 0.0694942 0.165972
72.772 0.0696087 0.166056
72.773 0.0697231 0.16614
72.774 0.0698376 0.166223
72.775 0.069952 0.166307
72.776 0.0700663 0.16639
72.777 0.0701805 0.166474
72.778 0.0702946 0.166557
72.779 0.0704085 0.16664
72.78 0.0705224 0.166724
72.781 0.0706362 0.166807
72.782 0.0707499 0.16689
72.783 0.0708635 0.166974
72.784 0.0709771 0.167057
72.785 0.0710905 0.16714
72.786 0.0712038 0.167223
72.787 0.071317 0.167306
72.788 0.0714302 0.167389
72.789 0.0715432 0.167472
72.79 0.0716561 0.167555
72.791 0.071769 0.167638
72.792 0.0718818 0.167721
72.793 0.0719944 0.167804
72.794 0.072107 0.167887
72.795 0.0722195 0.16797
72.796 0.0723319 0.168052
72.797 0.0724442 0.168135
72.798 0.0725563 0.168218
72.799 0.0726684 0.1683
72.8 0.0727805 0.168383
72.801 0.0728924 0.168466
72.802 0.0730042 0.168548
72.803 0.0731159 0.168631
72.804 0.0732276 0.168713
72.805 0.0733391 0.168795
72.806 0.0734506 0.168878
72.807 0.0735619 0.16896
72.808 0.0736732 0.169042
72.809 0.0737846 0.169125
72.81 0.0738958 0.169207
72.811 0.0740067 0.169289
72.812 0.0741175 0.169371
72.813 0.0742282 0.169453
72.814 0.0743388 0.169535
72.815 0.0744493 0.169617
72.816 0.0745598 0.169699
72.817 0.0746701 0.169781
72.818 0.0747803 0.169863
72.819 0.0748905 0.169945
72.82 0.0750005 0.170027
72.821 0.0751104 0.170108
72.822 0.0752202 0.17019
72.823 0.0753299 0.170272
72.824 0.0754395 0.170354
72.825 0.0755489 0.170435
72.826 0.0756583 0.170517
72.827 0.0757676 0.170598
72.828 0.0758768 0.17068
72.829 0.0759858 0.170761
72.83 0.0760948 0.170843
72.831 0.0762037 0.170924
72.832 0.0763124 0.171006
72.833 0.0764211 0.171087
72.834 0.0765297 0.171168
72.835 0.0766381 0.17125
